TARIH;PLANLANAN_URETIM;GERCEKLESEN_URETIM
01.11.2020;0;0,000
02.11.2020;0;0,000
03.11.2020;0;0,000
04.11.2020;0;0,000
05.11.2020;0;0,000
06.11.2020;0;32,250
07.11.2020;0;32,220
08.11.2020;0;31,990
09.11.2020;0;32,190
10.11.2020;0;31,760
11.11.2020;0;32,060
12.11.2020;0;30,700
13.11.2020;0;32,090
14.11.2020;0;31,330
15.11.2020;0;32,070
16.11.2020;0;32,140
17.11.2020;0;32,050
18.11.2020;0;32,050
19.11.2020;0;32,070
20.11.2020;0;32,080
21.11.2020;0;31,670
22.11.2020;0;32,030
23.11.2020;0;32,040
24.11.2020;0;31,100
25.11.2020;0;29,870
26.11.2020;0;30,100
27.11.2020;0;30,100
28.11.2020;0;30,140
29.11.2020;0;30,270
30.11.2020;0;30,190
01.12.2020;30,1;30,300
02.12.2020;30,1;30,270
03.12.2020;28,8;29,090
04.12.2020;30,1;30,630
05.12.2020;31,2;30,260
06.12.2020;30,1;27,130
07.12.2020;30,1;29,910
08.12.2020;30,1;30,110
09.12.2020;30,1;30,690
10.12.2020;30,1;30,300
11.12.2020;30,1;29,370
12.12.2020;30,1;30,700
13.12.2020;30,1;13,510
14.12.2020;30,1;25,950
15.12.2020;30,1;30,760
16.12.2020;31,2;31,625
17.12.2020;31,2;31,953
18.12.2020;31,2;31,705
19.12.2020;30,1;30,689
20.12.2020;31,2;30,798
21.12.2020;31,2;31,943
22.12.2020;31,2;31,864
23.12.2020;31,2;31,556
24.12.2020;30,1;29,642
25.12.2020;30,1;30,570
26.12.2020;30,1;30,261
27.12.2020;30,1;31,486
28.12.2020;30,1;30,620
29.12.2020;30,1;30,580
30.12.2020;30,1;30,540
31.12.2020;30,1;30,719
01.01.2021;30,1;30,230
02.01.2021;28,8;28,060
03.01.2021;30,1;30,410
04.01.2021;30,1;30,540
05.01.2021;28,8;22,360
06.01.2021;30,1;30,590
07.01.2021;30,1;30,200
08.01.2021;29,12;29,940
09.01.2021;30,1;30,320
10.01.2021;30,1;30,400
11.01.2021;28,8;29,320
12.01.2021;28,8;29,380
13.01.2021;28,8;28,990
14.01.2021;28,8;29,240
15.01.2021;28,8;28,990
16.01.2021;28,8;27,750
17.01.2021;28,8;28,940
18.01.2021;28,8;28,800
19.01.2021;28,8;28,800
20.01.2021;28,8;28,800
21.01.2021;28,8;28,800
22.01.2021;28,8;28,800
23.01.2021;28,8;27,110
